,haiku,colors,lines,syllables,total_syllables
36252,endless summer / a surfboard / coffee table,['coffee'],3,"(4, 3, 4)",11
36253,eyes at half mast / the end / of a long week,[],3,"(4, 2, 4)",10
36254,midnight silence / ringing in my ears,['midnight'],2,"(5, 5)",10
36255,overcast / the burden / of carrying on,[],3,"(3, 3, 4)",10
36256,flash flood / remembering / hiroshima,[],3,"(2, 4, 4)",10
36257,the perfect view / sunset / in her hair,['sunset'],3,"(4, 2, 3)",9
36258,after the rain / a cloud / of mosquitoes,[],3,"(4, 2, 4)",10
36259,lonely night / picking at / the scab,[],3,"(4, 3, 2)",9
36260,a bead of sweat / with no place to go,[],2,"(4, 6)",10
36261,how quickly / it drifts away / indigo sky,"['indigo', 'sky']",3,"(3, 4, 4)",11
36262,starless night / a call / i didnt want to make,[],3,"(3, 2, 5)",10
36263,while the cop sleeps / a runner steals second / uncontested,[],3,"(5, 6, 4)",15
36264,after the bank merger / all my monthly fees / double,[],3,"(6, 5, 2)",13
36265,over tropical waters / a deepening depression,[],2,"(7, 7)",14
36266,island parade / losing myself / in the steel drum,['steel'],3,"(5, 4, 4)",13
36267,her last wish / the ebb and flow / of the ocean,['ocean'],3,"(3, 4, 4)",11
36268,canyon road / feeling like / an antique,[],3,"(3, 3, 4)",10
36269,my summer daydream / a month of sundays,[],2,"(5, 5)",10
36270,wild wisteria / climbing the walls,[],2,"(4, 4)",8
36271,climbing the walls / wild wisteria,[],2,"(4, 4)",8
36272,shorter days / wondering where / the good wine went,['wine'],3,"(3, 5, 4)",12
36273,someone mentions her name / an inning ending double play,[],2,"(7, 8)",15
36274,windy night / the quivering / streetlight,[],3,"(3, 4, 2)",9
36275,my second cup of coffee / the buzz / of the high tension wire,['coffee'],3,"(7, 2, 6)",15
36276,approaching storm / the dogs bite / worse than its bark,[],3,"(4, 3, 5)",12
36277,crescent moon / wondering when she learned / to smile like that,[],3,"(3, 7, 5)",15
36278,chicken wing conspiracy / only drumsticks and thighs / are left,[],3,"(7, 6, 3)",16
36279,pale sky / my haiku submission / rejected via text,"['pale', 'sky']",3,"(2, 6, 5)",13
36280,in a dark room / a misconstrued / text message,['dark'],3,"(4, 4, 4)",12
36281,setting sun / everything i own / on the bus,[],3,"(3, 6, 3)",12
36282,leading me home / a trusty old greyhound,[],2,"(4, 6)",10
36283,new construction / a hornets nest,[],2,"(4, 4)",8
36284,always too soon / summer sunset,['sunset'],2,"(4, 4)",8
36285,new construction / this fear / of emptiness,[],3,"(4, 2, 4)",10
36286,searching for the mute button / and hes only a candidate,[],2,"(7, 9)",16
36287,benches clear / a cute puppy / on the field,[],3,"(3, 4, 3)",10
36288,spinning his wheels / a frightened dog / at the vet,[],3,"(4, 5, 3)",12
36289,discussing mom / the subject turns / to painkillers,[],3,"(4, 4, 4)",12
36290,writers block / i push a door / marked pull,[],3,"(3, 4, 3)",10
36291,caught / in a spider web / morning dew,[],3,"(1, 5, 3)",9
36292,after the rain / the automatic sprinklers / turn on,[],3,"(4, 7, 2)",13
36293,after the rain / a meteor shower,[],2,"(4, 5)",9
36294,lonely night / an abandoned lighthouse,[],2,"(4, 8)",12
36295,the ghost ship / sailing past an / abandoned lighthouse,[],3,"(3, 4, 7)",14
36296,her whisper / when she says the word / suicide,[],3,"(3, 5, 3)",11
36297,hovering above / a swarm / of news helicopters,[],3,"(6, 2, 6)",14
36298,heat advisory / when she knows / everyone is looking,[],3,"(5, 3, 7)",15
36299,heat advisory / the radar guns / behind home plate,[],3,"(5, 4, 5)",14
36300,impromptu debate / the candidate / and a crying baby,[],3,"(6, 5, 5)",16
36301,walden pond / all parking lots / full,[],3,"(3, 4, 1)",8
36302,quarter moon / i lie about / how much i drink,[],3,"(3, 4, 4)",11
36303,hot night / a long line / at the taco truck,[],3,"(2, 3, 5)",10
36304,midnight / a smouldering / citronella candle,['midnight'],3,"(2, 4, 6)",12
36305,hot summer night / a late inning meltdown,[],2,"(4, 6)",10
36306,hot summer morning / sharing my breakfast / with ants,[],3,"(5, 5, 2)",12
36307,port elizabeth taxicab / i follow / the calypso,[],3,"(8, 3, 4)",15
36308,field of nightmares / a pop up / lost in the lights,[],3,"(5, 3, 4)",12
36309,on the campaign trail / so much thunder / without rain,[],3,"(5, 4, 3)",12
36310,bacon in the pan / the dead / do rise,[],3,"(5, 2, 2)",9
36311,crowded train / the bright red glare / of her lipstick,"['bright red', 'lipstick']",3,"(3, 5, 4)",12
36312,writers block / this fear / of emptiness,[],3,"(3, 2, 4)",9
36313,between rain showers / the dog / chases a rabbit,[],3,"(5, 2, 5)",12
36314,after the storm / the sky and i,['sky'],2,"(4, 4)",8
36315,approaching storm / no time / for metaphors,[],3,"(4, 2, 4)",10
36316,late summer thunder / wondering what / ill dream about tonight,[],3,"(5, 4, 6)",15
36317,heat lightning / face to face / with a dragonfly,[],3,"(3, 3, 5)",11
36318,long night / what is and isnt / a wrinkle,[],3,"(2, 4, 3)",9
36319,her lips / my favorite drug,[],2,"(2, 6)",8
36320,in the morning stillness / a transformer explodes,[],2,"(6, 7)",13
36321,out of work / the panguero fishes a bottle / from the trash,[],3,"(3, 9, 3)",15
36322,not far away / shirtless boys throwing stones / at soldiers,[],3,"(4, 7, 3)",14
36323,hummingbird / wondering where / the time went,[],3,"(3, 5, 3)",11
36324,escaping the heat / a dive bar / with no cell signal,[],3,"(5, 3, 5)",13
36325,monday morning / another revolution / around the sun,[],3,"(4, 7, 4)",15
36326,another saturday night / police in riot gear / take up positions,[],3,"(7, 6, 5)",18
36327,cactus flower / an unrequited crush,[],2,"(4, 6)",10
36328,fair weather clouds / she remembers my birthday / but not my name,[],3,"(4, 7, 4)",15
36329,full of wine / the meteor shower / happens without me,['wine'],3,"(3, 5, 5)",13
36330,in period costume / the village blacksmith / sends a text,[],3,"(6, 6, 3)",15
36331,morning meditation / a procession / of slow moving clouds,[],3,"(6, 4, 5)",15
36332,budget cut / another / blood drive,['blood'],3,"(3, 3, 3)",9
36333,gibbous moon / breaking up / the no hitter,[],3,"(3, 3, 4)",10
36334,red moon / seeing her / in a different light,['red'],3,"(2, 2, 6)",10
36335,summer haze / nobody notices / my t shirt,[],3,"(3, 6, 3)",12
36336,dog days / the dog / doesnt care for them,[],3,"(2, 2, 4)",8
36337,anti hipster shaving / against the grain,[],2,"(6, 4)",10
36338,another year older / but never too old / to pop bubble wrap,[],3,"(6, 5, 5)",16
36339,sturgeon moon / still no craving / for caviar,[],3,"(3, 4, 3)",10
36340,the pastors sermon / i tweet / a clever rebuttal,[],3,"(5, 2, 6)",13
36341,smart phones / dumbing down / america,[],3,"(3, 3, 4)",10
36342,sermon on the mount / the search / for forbidden fruit,[],3,"(5, 2, 5)",12
36343,grain moon / my home brew described / as chewy,[],3,"(2, 6, 3)",11
36344,last days of summer / tuning a guitar / i cant play,[],3,"(5, 5, 3)",13
36345,seaborne clouds / a bet / i cant win,[],3,"(4, 2, 3)",9
36346,had she said hello / she would have had me / at hello,[],3,"(5, 5, 3)",13
36347,dry / but not very cool / the weather / and me,[],4,"(1, 5, 3, 2)",11
36348,always punctual / disappointment,[],2,"(4, 4)",8
36349,the cabbies conspiracy theories / driving me crazy,[],2,"(9, 5)",14
36350,curious / about the hobos / retirement plan,[],3,"(2, 5, 5)",12
36351,a swarm of bees / the next door neighbor / practises violin,[],3,"(4, 5, 5)",14
36352,recovering nicely / the one who said / its only a game,[],3,"(7, 5, 5)",17
36353,water ban / which is why / there is beer,['water'],3,"(3, 3, 4)",10
36354,no one has to ask them / to work all weekend / little black ants,['black'],3,"(7, 5, 4)",16
36355,buying another round / for all the ghosts at the bar,[],2,"(5, 7)",12
36356,missing the exit / my inner child / throws a tantrum,[],3,"(5, 4, 4)",13
36357,muggy night / a friend / unfriends me,[],3,"(3, 2, 3)",8
36358,baja midnight / its only / beginning,[],3,"(4, 3, 3)",10
36359,death by tie dye / the grateful dead / cover band,[],3,"(4, 5, 3)",12
36360,last call / a stray dog / on the dance floor,[],3,"(2, 3, 5)",10
36361,right after saying / i have no regrets / a ukulele,[],3,"(4, 5, 5)",14
36362,dockside / hoping the brass band / wont play,[],3,"(3, 5, 2)",10
36363,a long days journey / into the taste of whiskey,[],2,"(5, 8)",13
36364,on the distant horizon / a reminder of how far / ive yet to go,[],3,"(7, 7, 5)",19
36365,bringing me back to earth / a traveling horse fly,[],2,"(6, 7)",13
36366,leaving port / the radio plays / brown eyed girl,['brown'],3,"(3, 4, 3)",10
36367,not holding my breath / the lifeboat decorated / with duct tape,[],3,"(5, 8, 3)",16
36368,wind chimes / i forget / the question,[],3,"(3, 3, 3)",9
36369,while we sleep / the ants in our kitchen / feast on crumbs,[],3,"(4, 6, 3)",13
36370,not quite / hitting bottom / the ships anchor,[],3,"(3, 4, 4)",11
36371,lost for words / a day / without clouds,[],3,"(3, 2, 3)",8
36372,my wistful thoughts / drifting out to sea,[],2,"(4, 5)",9
36373,drifting out to sea / my wistful thoughts,[],2,"(5, 4)",9
36374,wondering / whos on the other end / of that selfie,[],3,"(3, 6, 4)",13
36375,hurricane watch / fear / of a big inning,[],3,"(5, 1, 5)",11
36376,away from everything / my favorite parking spot,[],2,"(7, 8)",15
36377,solitaire / when theres no one else / to blame,[],3,"(4, 8, 3)",15
36378,end of summer / the weight / of my bucket list,[],3,"(4, 2, 5)",11
36379,blood tinted soil / where the sugar plantation / used to be,['blood'],3,"(4, 8, 3)",15
36380,a collective gasp / laying down / the perfect bunt,[],3,"(6, 2, 4)",12
36381,after the storm / a choir / of chain saws,[],3,"(4, 2, 3)",9
36382,under cloak of darkness / the outlaw / with a garden hose,[],3,"(6, 3, 5)",14
36383,remembering / the simple joy / of a summer breeze,[],3,"(4, 4, 6)",14
36384,waning gibbous / when the words / just wont come,[],3,"(4, 3, 3)",10
36385,back to school / checking out the new moms / at the bus stop,[],3,"(3, 6, 4)",13
36386,after the storm / a chorus / of chain saws,[],3,"(4, 3, 3)",10
36387,the morning after / rolling an empty keg / out of the pub,[],3,"(5, 6, 4)",15
36388,late summer chill / my grandson wont / come to the phone,[],3,"(4, 4, 5)",13
36389,my yearly check up / a bitter pill / to swallow,[],3,"(5, 4, 3)",12
36390,furniture shopping / a flat finish / on wall street,[],3,"(6, 4, 3)",13
36391,august afternoon / a snake / in the road,[],3,"(5, 3, 3)",11
36392,page not found / my online bio,[],2,"(3, 5)",8
36393,endless summer / four young girls / in bikinis,[],3,"(4, 3, 4)",11
36394,bullpen action / the pitchers / unfinished tattoo,[],3,"(4, 3, 6)",13
36395,a fishermans dream / when my ship / comes in,[],3,"(5, 3, 3)",11
36396,bottom of the ninth / a mosquito / goes down on strikes,[],3,"(5, 4, 5)",14
36397,a hurried kiss / the dogs ear / twitches,[],3,"(4, 3, 2)",9
36398,pitchers duel / beware of / dangerous curves,[],3,"(3, 4, 5)",12
36399,forgetting / that i never liked / cotton candy,['cotton candy'],3,"(3, 6, 4)",13
36400,fever dream / the crows / calling my name,[],3,"(3, 2, 4)",9
36401,never straying / too far away / baja sunset,['sunset'],3,"(3, 4, 4)",11
36402,the notebook / a study / in emptiness,[],3,"(4, 3, 4)",11
36403,stirring my coffee / somebody asks me / what i am,['coffee'],3,"(5, 6, 3)",14
36404,wagging his tail / the slipper thief,[],2,"(4, 4)",8
36405,tropical disturbance / this is no longer / a street party,[],3,"(7, 5, 4)",16
36406,muggy night / august goes out / with a whimper,[],3,"(3, 4, 4)",11
36407,slow song / a desolate stretch / of road,[],3,"(2, 6, 2)",10
36408,always a blur / the world / through beer goggles,[],3,"(4, 2, 4)",10
36409,fishermans gold / launching / into sunrise,[],3,"(4, 2, 5)",11
36410,the old dog / chasing rabbits / in his dreams,[],3,"(3, 4, 3)",10
36411,last days of summer / please wear that sundress / one more time,[],3,"(5, 6, 4)",15
36412,answering the question / i dare not ask / with a kiss,[],3,"(6, 4, 3)",13
36413,the tour bus arrives / an abandoned / mining town,[],3,"(6, 5, 3)",14
36414,jackhammer / keeping rhythm / in hell,['rhythm'],3,"(3, 3, 2)",8
36415,pop up shower / a prairie dog / retreats,[],3,"(4, 4, 2)",10
36416,reaching for my pillow / another dream / that im lost,[],3,"(6, 4, 3)",13
36417,same time as yesterday / the old clock tower,[],2,"(6, 5)",11
36418,open air market / everything / ill never need,[],3,"(5, 4, 4)",13
36419,above the crowd noise / the awkwardness / of a first date,[],3,"(7, 4, 4)",15
36420,fair weather clouds / the cart / before the horse,[],3,"(4, 2, 6)",12
36421,better than an autograph / pine tar / on my pen,['pine'],3,"(7, 2, 3)",12
36422,now entering / the street musicians concert hall / the 515 train,[],3,"(4, 8, 3)",15
36423,clinging to summer / a sale / on wool mittens,[],3,"(5, 2, 4)",11
36424,tempest in a teapot / my third cup / of coffee,['coffee'],3,"(6, 3, 3)",12
36425,writers block / water rationing / mandatory,['water'],3,"(3, 5, 4)",12
36426,waning crescent moon / time to amend / our wills,[],3,"(5, 4, 2)",11
36427,summer twilight / the instructions / for my ashes,[],3,"(4, 4, 4)",12
36428,a homeless man / conducting the orchestra / in his mind,[],3,"(5, 7, 3)",15
36429,last days of summer / all of the warnings / to slow down,[],3,"(5, 5, 3)",13
36430,waiting for the school bus / 8 new backpacks / staring at cell phones,[],3,"(6, 4, 6)",16
36431,back to school / six backpacks / with legs,[],3,"(3, 3, 2)",8
36432,chased by the dog / a damselfly / in distress,[],3,"(5, 4, 3)",12
36433,the songs it sings / a buskers / battered guitar,[],3,"(4, 3, 5)",12
36434,losing face / an old stack / of poker cards,[],3,"(3, 3, 4)",10
36435,summer chill / i dont remember / being young,[],3,"(3, 5, 2)",10
36436,stuck behind the bus / on the second day of school,[],2,"(5, 7)",12
36437,calm seas / the tugboats / tired flag,[],3,"(2, 3, 3)",8
36438,morning meditation / a ladybug / ascending,[],3,"(6, 4, 3)",13
36439,bottom of the ninth / knowing i should / know better,[],3,"(5, 4, 3)",12
36440,pale sky / what could / have been,"['pale', 'sky']",3,"(2, 2, 2)",6
36441,fair weather clouds / my musical taste / described as retro,[],3,"(4, 6, 6)",16
36442,mostly cloudy / my disposition,[],2,"(4, 5)",9
36443,mostly cloudy / news of his death / six months ago,[],3,"(4, 4, 4)",12
36444,rural tourists / posing for selfies / with a cow,[],3,"(4, 5, 3)",12
36445,chance of thunder / loosening the top button / of her blouse,[],3,"(5, 7, 4)",16
36446,new moon / the emptiness / begins,[],3,"(2, 4, 2)",8
36447,empty nest / the unmistakable sound / of fall,[],3,"(3, 7, 2)",12
36448,embracing september / her cold cold touch,[],2,"(6, 4)",10
36449,september call ups / practicing / autographs,[],3,"(5, 3, 3)",11
36450,young love / the couples / matching yoga mats,[],3,"(2, 3, 5)",10
36451,purring at my feet / pythagoras / dreaming of triangles,[],3,"(5, 4, 5)",14
36452,clean slate / my mother / repeats herself,['slate'],3,"(3, 3, 4)",10
36453,after the rain / the need / for rain,[],3,"(4, 2, 2)",8
36454,empty nest / i fill / our wine glasses,['wine'],3,"(3, 2, 4)",9
36455,national anthem / where to put / my 8 dollar beer,[],3,"(5, 4, 5)",14
36456,new moon / the rhythm / of the darkness,['rhythm'],3,"(2, 2, 4)",8
36457,clinging to summer / a morning / of sweatshirts and shorts,[],3,"(5, 3, 5)",13
36458,deadliest catch / her fishnet stockings,[],2,"(3, 5)",8
36459,the verdict is in / summoned / for jury duty,[],3,"(5, 3, 5)",13
36460,holiday weekend / my first beer / the color of sunset,['sunset'],3,"(5, 3, 6)",14
36461,heaven / a taco truck / on every corner,[],3,"(2, 4, 6)",12
36462,what holiday / a woodpecker / at work,[],3,"(4, 4, 2)",10
36463,summer haze / someone murmurs / alzheimers,[],3,"(3, 5, 3)",11
36464,head over heels / i trip over / my tongue,[],3,"(4, 4, 3)",11
36465,cooler days ahead / i contemplate / my unshaven face,[],3,"(5, 5, 5)",15
36466,cooler days ahead / my unshaven face,[],2,"(5, 5)",10
36467,clinging to summer / red dragonfly,['red'],2,"(5, 4)",9
36468,old enough / to know better / and yet,[],3,"(3, 4, 2)",9
36469,startled from sleep / what the dream catcher / didnt catch,[],3,"(4, 5, 2)",11
36470,harvesting / our last tomato / damned chipmunk,['tomato'],3,"(3, 5, 4)",12
36471,the bitter aftertaste / of dirty politics,[],2,"(7, 6)",13
36472,neither rhythm nor rhyme / my two left feet,['rhythm'],2,"(6, 4)",10
36473,before the storm / a hurried harvest / of habaneros,[],3,"(5, 5, 5)",15
36474,hot summer night / a frozen rope / to center field,[],3,"(4, 4, 4)",12
36475,september chill / the first / golden leaf,"['golden', 'leaf']",3,"(4, 2, 3)",9
36476,writers block / a storm spinning / just offshore,[],3,"(3, 4, 4)",11
36477,holiday weekend / a red tailed hawk / rides the breeze,['red'],3,"(5, 5, 5)",15
36478,refreshing my memory / the scent of thyme,[],2,"(7, 5)",12
36479,labor day / the subject changes / to retirement,[],3,"(3, 5, 5)",13
36480,opening the good wine / i contemplate / my next renku link,['wine'],3,"(6, 5, 5)",16
36481,storm damage / my umbrella / turned inside out,[],3,"(4, 4, 6)",14
36482,at the end / of a long weekend / an empty beer bottle,[],3,"(3, 5, 6)",14
36483,gale force winds / my brittle limbs,[],2,"(4, 4)",8
36484,the end of summer / forgetting / i never liked whiskey,[],3,"(5, 3, 7)",15
36485,trading sighs / the last breath / of summer,[],3,"(3, 3, 3)",9
36486,september rain / the weekend dissolves / into coffee,['coffee'],3,"(4, 6, 4)",14
36487,wondering what i did wrong / to be selected for jury duty,[],2,"(7, 10)",17
36488,in the jury room / all eyes / on the empty podium,[],3,"(5, 2, 6)",13
36489,awaiting further instructions / slow soaking rain,[],2,"(8, 4)",12
36490,mystic cleaners / still cant tell me / when my suit will be ready,['mystic'],3,"(4, 4, 7)",15
36491,overcast / the bailiffs scowl,[],2,"(3, 4)",7
36492,long night / she takes off / that short dress,[],3,"(2, 4, 3)",9
36493,manila morning / a shop owner sweeps / the cracked sidewalk,[],3,"(5, 5, 6)",16
36494,crescent moon / thinking i might be / overthinking it,[],3,"(3, 5, 5)",13
36495,no moon tonight / i choose / a bitter beer,[],3,"(4, 3, 4)",11
36496,restless night / a storm spinning / just offshore,[],3,"(3, 4, 4)",11
36497,rain chimes / my new / favorite song,[],3,"(3, 2, 5)",10
36498,after the storm / so many green leaves / on the ground,['green'],3,"(4, 6, 3)",13
36499,gingko walk / not trying to read too much / into the clouds,[],3,"(3, 6, 4)",13
36500,row after row / of memorials in / the healing garden,[],3,"(4, 5, 5)",14
36501,clinging to / a lost summer / the last tomato,['tomato'],3,"(3, 4, 5)",12
36502,late summer fog / reading between / the power lines,[],3,"(4, 4, 5)",13
36503,late summer fog / the weariness,[],2,"(4, 4)",8
36504,beyond the pale / late summer fog,['pale'],2,"(3, 4)",7
36505,restless night / waves pounding / a rusted shipwreck,[],3,"(3, 4, 5)",12
36506,summer dusk / the dog twitches / in his sleep,[],3,"(3, 4, 3)",10
36507,clinging to summer / her tight blouse,[],2,"(5, 4)",9
36508,climbing / the barbed wire fence / crescent moon,[],3,"(2, 6, 3)",11
36509,crowded train / the far away look / in our eyes,[],3,"(3, 5, 3)",11
36510,cold to the touch / grandpas stovepipe hat,[],2,"(4, 7)",11
36511,thick with smoke / the lingering taste / of brisket,[],3,"(4, 6, 3)",13
36512,morning commute / rats flee / the oncoming train,[],3,"(5, 2, 5)",12
36513,clinging to summer / september sweat,[],2,"(5, 4)",9
36514,doing the math / more zeroes / than i thought,[],3,"(3, 3, 3)",9
36515,leaving nothing to chance / i buy / a powerball ticket,[],3,"(7, 2, 6)",15
36516,the barking dog / chasing you away / from my dream,[],3,"(4, 5, 3)",12
36517,castaway / a house fly / along for the ride,[],3,"(3, 4, 5)",12
36518,sunshine / a broken fence / in our backyard,[],3,"(3, 5, 4)",12
36519,thunder / another dream / about the towers,[],3,"(2, 4, 5)",11
36520,falling from the sky / not the unique snowflake / i thought i was,['sky'],3,"(5, 8, 4)",17
36521,lost in the pumpkin patch / an honest cup of coffee,"['pumpkin', 'coffee']",2,"(6, 7)",13
36522,lonely night / waiting for / my taco truck,[],3,"(4, 3, 4)",11
36523,emptying / my wine glass / her bare shoulders,"['wine', 'glass']",3,"(2, 3, 4)",9
36524,kissing you / everywhere / and then some,[],3,"(3, 5, 3)",11
36525,september chill / the fear / of forgetting,[],3,"(4, 2, 4)",10
36526,silence / out goes / the distant light,[],3,"(3, 2, 4)",9
36527,reflected / in my monitor / my weariness,[],3,"(3, 5, 4)",12
36528,cloudless sky / her deep blue eyes,['deep blue'],2,"(3, 4)",7
36529,my opinion / an acorn falls,[],2,"(4, 4)",8
36530,cloudless sky / a childs balloon / floats away,[],3,"(3, 4, 3)",10
36531,cloudless sky / a childs balloon,[],2,"(3, 4)",7
36532,not visible / on x ray / the cloudless sky,['sky'],3,"(4, 3, 4)",11
36533,choking down a slice of pizza / the parking meter expires,[],2,"(9, 8)",17
36534,dirty laundry / my retirement portfolio / takes a bath,[],3,"(4, 8, 4)",16
36535,she asks for / my must haves / the buoys rusty bell,[],3,"(3, 4, 5)",12
36536,september chill / the rookie relievers / hanging curve ball,[],3,"(4, 6, 5)",15
36537,called third strike / the sympathy / of crickets,[],3,"(5, 4, 3)",12
36538,all the cares of the world / dissolve / in a tummy rub,[],3,"(7, 3, 5)",15
36539,writers block / peeling a spider web / from my face,[],3,"(3, 6, 3)",12
36540,approaching the equinox / i slow down / to 55,[],3,"(7, 3, 2)",12
36541,the old cathedral / who can hear / my echo,[],3,"(5, 3, 3)",11
36542,just for me / her sexy selfie,[],2,"(3, 5)",8
36543,believing / its a cold front / when i feel it,[],3,"(3, 4, 4)",11
36544,crisp autumn night / all the words / ive lost,[],3,"(4, 3, 3)",10
36545,autumn chill / the vermilion sky,"['vermilion', 'sky']",2,"(3, 5)",8
36546,clouds on the horizon / struggling to find / the words,[],3,"(6, 4, 2)",12
36547,harvest moon / her updated / relationship status,[],3,"(3, 4, 6)",13
36548,harvest moon / the dog grabs a slipper / from the closet,[],3,"(3, 6, 4)",13
36549,gibbous moon / so many ways / to say goodbye,[],3,"(3, 4, 4)",11
36550,cold front / she fastens / another button,[],3,"(2, 3, 5)",10
36551,fall colors / the home team / takes a holiday,[],3,"(3, 3, 6)",12
36552,fall colors / the home teams bats / take a holiday,[],3,"(3, 4, 5)",12
36553,cold front / the home teams bats / take shelter,[],3,"(2, 4, 3)",9
36554,after the lunch crowd / the slow stagger / of a regular,[],3,"(5, 4, 5)",14
36555,writers block / following / a lead balloon,[],3,"(3, 3, 4)",10
36556,harvest moon / whats left / of the tomatoes,[],3,"(3, 2, 5)",10
36557,harvest moon / another acorn falls,[],2,"(3, 6)",9
36558,im a kid again / puppies chasing / soap bubbles,[],3,"(5, 4, 3)",12
36559,harvest moon / when the ambulance arrives / for you,[],3,"(3, 9, 2)",14
36560,harvest moon / the ambulance arrives,[],2,"(3, 8)",11
36561,when the hospital hallways / become a bit too familiar,[],2,"(7, 9)",16
36562,wondering if the dog / is jealous / of my cat scan,[],3,"(6, 3, 4)",13
36563,fitful sleep / fishers fighting / in the darkness,[],3,"(3, 4, 4)",11
36564,crowded cafe / two women argue / about pink noise,['pink'],3,"(4, 5, 5)",14
36565,trying to / hold it together / the staples in my head,[],3,"(2, 5, 6)",13
36566,lacking incense / the smell of bacon / will do,[],3,"(5, 5, 2)",12
36567,also not / on my bucket list / a zip line,[],3,"(3, 5, 3)",11
36568,clouds without rain / the bitterness / of an empty six pack,[],3,"(4, 4, 6)",14
36569,gray sky / setting the world / on six and seven,"['gray', 'sky']",3,"(2, 4, 5)",11
36570,downplaying the victory / the finchs / happy song,[],3,"(6, 2, 3)",11
36571,september rain / only the crows / complain,[],3,"(4, 4, 2)",10
36572,whistling in the rain / the school bus drivers / last stop,[],3,"(5, 5, 2)",12
36573,in and out / of consciousness / an idling truck,[],3,"(3, 4, 4)",11
36574,sleeping in or not / a sloppy kiss / from the dog,[],3,"(5, 4, 3)",12
36575,dreaming / that there was a levee / to break,[],3,"(2, 7, 2)",11
36576,pennant fever / all of the empty seats / at camden yards,[],3,"(4, 6, 4)",14
36577,windless night / a mosquito lands / on the moon,[],3,"(3, 5, 3)",11
36578,midnight snack / the dogs dinner,['midnight'],2,"(3, 4)",7
36579,midnight snack / persuading the dog / to eat his dinner,['midnight'],3,"(3, 5, 5)",13
36580,gibbous moon / the wild flowers / black and white,"['black', 'white']",3,"(3, 4, 4)",11
36581,troubled sleep / sparks / from a high tension wire,[],3,"(3, 1, 6)",10
36582,late summer fog / my coffee / grows cold,['coffee'],3,"(4, 3, 2)",9
36583,last day of summer / just one more / sundress,[],3,"(5, 4, 2)",11
36584,peaceful waters / the fishermen / mend their nets,[],3,"(5, 4, 3)",12
36585,summer drought / the reservoir hits / rock bottom,[],3,"(3, 5, 3)",11
36586,that part of partly cloudy / that lingers all day,[],2,"(7, 5)",12
36587,then i realized / that family in a pup tent / wasnt camping,[],3,"(5, 8, 3)",16
36588,writers block / a reggae beat / fills the void,[],3,"(3, 4, 3)",10
36589,equinox / unconvinced / were even,[],3,"(3, 4, 4)",11
36590,only wednesday / absentmindedly squeezing / a stress ball,[],3,"(5, 7, 3)",15
36591,last day of summer / the fog gives way / to tear gas,[],3,"(5, 5, 3)",13
36592,always on time / always too soon / the first autumn leaf,['leaf'],3,"(4, 4, 5)",13
36593,in the exam room / the fingers of a rubber glove / pointing at me,[],3,"(5, 9, 4)",18
36594,last day of summer / the rookies / first home run,[],3,"(5, 3, 3)",11
36595,equinox / the pain / of moving on,[],3,"(3, 2, 4)",9
36596,first day of fall / the empty nest / upstairs,[],3,"(4, 4, 2)",10
36597,if they only knew / the sign reads / welcome fall,[],3,"(5, 3, 4)",12
36598,autumn chill / the late night wail / of an ambulance,[],3,"(3, 4, 6)",13
36599,the fallow field / where we once / played war,['fallow'],3,"(4, 4, 2)",10
36600,shorter days / longer hem lines / my september sigh,[],3,"(3, 5, 5)",13
36601,seeking words of wisdom / in the chatter / of sparrows,[],3,"(6, 4, 3)",13
36602,pale sky / the moment my hair / turned white,"['pale', 'white']",3,"(2, 5, 4)",11
36603,resident parking only / the hip brownstone / of my dreams,[],3,"(7, 5, 3)",15
36604,pale amber sky / counting down / to oblivion,"['pale', 'amber', 'sky']",3,"(4, 3, 4)",11
36605,the ambulance lights / still shining / what i almost lost,[],3,"(6, 3, 5)",14
36606,september rain / believing in / magic numbers,[],3,"(4, 4, 4)",12
36607,more wine / or no more wine / the empty glass / doesnt answer,"['wine', 'glass']",4,"(2, 4, 4, 3)",13
36608,hospital discharge instructions / one page / intentionally left blank,['blank'],3,"(9, 3, 7)",19
36609,tonights weather / dark circles / under my eyes,['dark'],3,"(4, 3, 4)",11
36610,seat belts fastened / one more week / in september,[],3,"(5, 4, 4)",13
36611,autumn dusk / even the sky / is pumpkin flavored,"['dusk', 'sky', 'pumpkin']",3,"(3, 4, 6)",13
36612,autumn dusk / the pumpkin flavored sky,"['pumpkin', 'sky']",2,"(3, 7)",10
36613,nautilus shell / the spiral / inward,[],3,"(4, 3, 2)",9
36614,writers block / i divide / by zero,[],3,"(3, 4, 3)",10
36615,clenching my teeth / i keep telling myself / its only a game,[],3,"(4, 6, 5)",15
36616,frost advisory / the pain of remembering / the wrong thing,[],3,"(5, 7, 3)",15
36617,frost advisory / the pain / of remembering,[],3,"(5, 2, 5)",12
36618,monday / a freshly plowed field / covered with frost,[],3,"(2, 6, 5)",13
36619,debating / whether or not / to watch the debate,[],3,"(3, 4, 6)",13
36620,writers block / the brook / runneth nowhere,[],3,"(3, 2, 5)",10
36621,the last ferry / where to go / from here,[],3,"(4, 4, 3)",11
36622,off season / the regulars know / im not a regular,[],3,"(3, 5, 6)",14
36623,off season / now she gives me / the time of day,[],3,"(3, 5, 4)",12
36624,off season / the drawbridge operator / gone for coffee,['coffee'],3,"(3, 8, 4)",15
