0,1,2,source,0_syllables,1_syllables,2_syllables
what does nasa do, to have a party in the,space they PLANET smacked,twaiku,5,7,5
I entertain no, bullshit play like that I'll b,gone soon don't worry,twaiku,5,7,5
Finished my course of, antibiotics I hope,I'll pass the final,twaiku,5,7,5
Another marriage, destroyed Two so far and more,to come Very sad,twaiku,5,7,5
Mastered the art of, saying a lot but but not,saying anything,twaiku,5,7,5
Last minute change of, plans came to my Tampa home,not Orlando home,twaiku,5,7,5
Never give up for, that is just the place and time,that the tide will turn,twaiku,5,7,5
One way you shouldn't, greet me is with hey you look,tired Like fuck off,twaiku,5,7,5
I gotta tell you, about my experience,at your store today,twaiku,5,7,5
He who warms our, hands and hearts then he always,gives us his own love,twaiku,"4,5",7,"5,6"
the eiffel tower, just casually rising,out of the ground here,twaiku,5,"6,7",5
When you discover, that your married boyfriend is,cheating on YOU TOO,twaiku,5,7,5
I'd rather work day, to night everyday than go,to school tomorrow,twaiku,5,7,5
How happy i am, if i receive a sorry,with the correct way,twaiku,"5,6",7,5
I never see the, dude unless he's with the friend,I know That's the thing,twaiku,5,7,5
I really wish I, knew how people came up with,the bullshit they do,twaiku,5,7,5
LeAnn Rimes Nothin', Better to Do Bimbo Jones,Radio Edit,twaiku,5,7,5
thinking about what, christmas shopping i have left,is stressing me out,twaiku,5,7,5
The only thing this, guy could assault is the all,u can eat buffet,twaiku,5,7,5
Someone gimme the, gay update I don't have spare,Twitter sifting time,twaiku,5,7,5
That waking up on, Monday feeling when you don't,have to go to work,twaiku,5,7,5
Picked up a jacket, this morning that doesn't have,lip balm It's over,twaiku,5,7,5
Fuck im crying Why, do i always have to be,the one that gets hurt,twaiku,5,7,5
I am extremely, tight that I am missing the,cowboys game right now,twaiku,"5,6","8,7",5
Reading my bible, in the morning really helps,my entire mood,twaiku,5,7,5
really excited, to see you Thanks so much for,coming to Denver,twaiku,5,7,5
people who snort when, they laugh r so valid don't,ever think ur not,twaiku,5,7,5
I can always tell, from your eyes that everything,you told me is true,twaiku,5,7,5
Stop your father from, harming us any more than,he already has,twaiku,5,"8,7",5
today i vowed not, to pick up or smoke until,my exams are done,twaiku,5,7,5
Pastors make a note, in your spirit to allow,God to have his way,twaiku,5,7,5
if anyone wants, to have their sexy time filmed,you can hire me,twaiku,5,7,"4,5"
hurricane by luke, combs hits me like a bag of,bricks every time,twaiku,5,7,"4,5"
right now it's Flower, Road I like drowning myself,with too much feels huh,twaiku,5,7,5
Seen into your eyes, what you wanted but you know,that this means nothing,twaiku,5,7,5
He is writing a, song about beating his mom,in Scrabble all night,twaiku,5,7,5
I'm broken down and, tired of living life on,a merry go round,twaiku,5,7,5
Doing it wrong is, the only drake song that gets,me in my feelings,twaiku,5,7,5
it would an awesome, gift for my birthday if I,could get a reply,twaiku,5,7,5
My phone no longer, recognizes the shriveled,dry husk of my thumb,twaiku,5,7,5
Had so many plans, for this day off but i just,cant get out of bed,twaiku,5,7,5
Jenni is really, my partner in crime when it,comes to partying,twaiku,5,7,5
waking my niece up, to cuddle with me in the,middle of the night,twaiku,5,7,5
Neverland is home, to lost girl like me and lost,girl like me are free,twaiku,5,7,5
I see your anti, muslim safety device is,active and prepared,twaiku,5,7,5
Totally get why, men are obsessed with boobs I'm,a girl and I am,twaiku,5,7,"5,6"
Is the snow heavy, in Glasgow not sure if should,risk driving to work,twaiku,5,7,5
Allowed to skip work, today but tasked to clean the,whole house I'll take it,twaiku,5,7,5
In February, I was struck in the chest by,a bow and arrow,twaiku,5,7,5
I refuse to end, today on a bad note lol,I fucking REFUSE,twaiku,5,7,5
What D lineman was, literally just standing,there holding his hand,twaiku,5,"6,7",5
i can't get enough, of the end scene it's all i,could ever ask for,twaiku,5,7,5
Lol it's always a, sausage fest in that pool in,the jags stadium,twaiku,5,7,5
I was probably, eating when God was giving,away flat stomachs,twaiku,"4,5",7,5
That's probably what's, holding their height down it makes,sense Fucking midgets,twaiku,"4,5",7,5
The animations, sure aren't being finished,on time anymore,twaiku,5,"6,7",5
these all nighters are, gonna kill me when break is,over wish me luck,twaiku,5,7,5
Guys I'm watching The, Normal Heart Oh no why am,I doing this no,twaiku,5,"8,7",5
We must realize, God does not exist for us,we exist for God,twaiku,5,"8,7",5
Good morning guys And, merry Christmas to those who,are celebrating,twaiku,5,7,5
If someone finds my, head please bring it back to me,It's completely gone,twaiku,5,7,5
I hate talking on, the phone about shit you text,like im hanging up,twaiku,5,7,5
Love seeing people's, fitness progression stories,Great motivation,twaiku,5,7,5
My nails want doing, but I trying to hold out,until June or so,twaiku,5,"6,7",5
I haven't had lunch, today I guess I better,grab some chipotle,twaiku,5,7,5
Shameless been trash since, their momma slit her wrists at,the dinner table,twaiku,5,7,5
Get ya money get, ya weight up just like a shark,these dogs get ate up,twaiku,5,7,5
Someone wake me up, in the morning to stream for,a couple hours,twaiku,5,7,"4,5"
too busy working, on my own grass to notice,of yours is greener,twaiku,5,7,5
I hate not having, reassurance or having,unanswered questions,twaiku,5,7,5
That also counts but, I've seen people moving on,like nothing happened,twaiku,5,7,5
ugH MY SLEEP SCHEDULE, is so wack but not as bad,as it was at least,twaiku,5,7,5
I woke up singing, if we were a movie by,Hannah Montana,twaiku,5,7,5
New Police Chief in, San Diego front page of,the newspaper said,twaiku,5,7,5
Levels probably, my favourite track from the,uni days Godspeed,twaiku,"4,5",7,5
attention world i, found a new freckle today,it's on my eyelid,twaiku,5,7,5
We still hold our, slave owners last names THAT'S what's,even crazier,twaiku,"4,5",7,5
Y'all don't really be, understanding depression,like y'all be claiming,twaiku,5,7,5
The problem with closed, minded people is their mouth,is always open,twaiku,5,7,5
I said I wanted, summer to hurry up but,I'm over the heat,twaiku,5,7,5
Your attitude can, impact so much If it's not,a good one change it,twaiku,5,7,5
Bipolar bitches, will cut you off and be mad,because they miss you,twaiku,5,7,5
I need somebody, who gone beat my ass if I,try break up with them,twaiku,5,7,5
All I wanna do, is cry say my farewells pack,up and leave tonight,twaiku,5,7,5
I'm posting so much, on Hurricane Florence let's,take a quick cute break,twaiku,5,7,5
bought everything for, my halloween costume im,bout to fuck it up,twaiku,5,7,5
Roses are silver, daffodils are brown sugar,is black and so on,twaiku,5,7,5
These are little things, but sometimes its the little,things that stings the most,twaiku,5,7,5
Innovation is, a long process It is not,flashes of brilliance,twaiku,5,7,5
He ordered food from, five restaurants Yeah he will,treat himself Self love,twaiku,5,"6,7",5
Life is better with, booze and the best lady of,all time by your side,twaiku,5,7,5
one of my barber, instructors looks like Janice,Ian from Mean Girls,twaiku,5,7,5
Second night in a, row without sleep depression,acting up again,twaiku,5,7,5
i'm so tired i, still have to research for my,thesis i feel deAD,twaiku,5,7,5
fix your servers I'm, tired of lagging out and,falling off my forts,twaiku,5,7,5
No proper play on, the left But your man always,dey pick Ashley Young,twaiku,5,7,5
When God keeps testing, you and you didn't even,get a syllabus,twaiku,5,"6,7",5
On a happy note, I don't even need to wear,a jacket today,twaiku,5,7,5
Im enjoying the, ride instead of worrying,about the future,twaiku,5,7,5
did you just order, a steak Well Done proceeds to,leave her with the bill,twaiku,5,7,5
Cause we not upset, or pissed with the falcons They,pissed at themselves Pooh,twaiku,5,7,5
Donnie McClurkin, We've Come This Far By Faith I,Will Trust In The Lord,twaiku,5,7,5
I have morning wood, like a yoga instructor,dude I'm so happy,twaiku,5,7,5
im going sleep i, have a trip tomorrow and,im Really Nervous,twaiku,5,7,5
having a mini, keyboard for my ipad is,the best thing ever,twaiku,5,7,5
Everyone face time, me right now so I can show,y'all my new vibe lights,twaiku,5,7,5
Sadly we are so, divided along ethnic,and religious line,twaiku,5,7,5
i hate myself why, can't i just be good at math,like everyone else,twaiku,5,7,5
Got a great feeling, about today The Duck is,gonna fly today,twaiku,5,7,5
be careful on you, vent to a listening ear,is a running mouth,twaiku,5,"6,7",5
I love you because, you taught me to believe in,me and in my dreams,twaiku,5,7,5
I keep calling him, the love of my life but like,he really is so,twaiku,5,7,5
APC the go, and die party They really,don't be giving fucks,twaiku,5,7,5
I woke up today, it it's like everybody,got a new bitty,twaiku,5,7,5
Maybe they'll me more, when I'm gone Wiz Khalifa,This Deal or no deal,twaiku,5,7,5
Great run Andrew You, didn't take a dip in the,river afterwards,twaiku,5,"6,7",5
It doesn't count as, a morning if you drank all,night and didn't sleep,twaiku,5,7,"4,5"
If she don't forget, about your balls don't forget,about her ring size,twaiku,5,7,5
an underrated, piece of art that deserved more,than it ever did,twaiku,5,7,5
Now Playing on J, Train Radio Da Vinci's,Notebook The Big Chair,twaiku,5,"8,7",5
He really smart i, would become all they agent,once they hit the pros,twaiku,5,7,5
I have to admit, I'm not fond of the use of,adult as a verb,twaiku,5,7,5
i can't believe i'm, seeing harry next month it,sounds so unreal i,twaiku,5,7,5
CAN SOMEONE DRUG ME, PLEASE BUT DON'T TELL ME I JUST,NEED A LITTLE SLEEP,twaiku,5,7,5
Stormy Daniels she, playing with the state I mean,for the Steelers to,twaiku,5,7,5
There is no value, in the future of coins that,leave user questions,twaiku,5,7,5
You're never too old, or too young to do something,amazing with God,twaiku,5,7,5
shaving ur legs and, then putting on tights is The,most comfortable,twaiku,5,7,5
All the glory na, hear we hear give us the hands,make we verify,twaiku,5,"8,7",5
I'm at my lowest, and still you try to pick a,fight w me,twaiku,5,7,5
Tucker is CONVINCED, that my tummy will give him,milk I'm over it,twaiku,5,7,5
I look pretty good, for someone who hasn't slept,what so ever lol,twaiku,5,7,5
honestly it feels, like i always need to have,a smile on my face,twaiku,5,7,5
I love watching ads, for the movie I'm sitting,in waiting too watch,twaiku,5,7,5
SHEA D He's stooping, down to this level I thought,better of him Soft,twaiku,5,7,5
You may be able, to give me an answer Or,so I had thought but,twaiku,5,7,5
I can't even lie, I'd rather stay inside I,can't do suit and tie,twaiku,5,7,5
My son is living, his best life right now and I,couldn't be more proud,twaiku,5,7,5
ugly dudes date ONE, pretty ass girl and forget,they're ugly LOL yikes,twaiku,5,7,5
Stare into them green, eyes let them suck out your soul,or so I've been told,twaiku,5,7,5
I don't like pickles, I just thought that would be a,stupid thing to do,twaiku,5,7,5
Valentine's Day is, the stupidest holiday,ever invented,twaiku,5,7,5
I know the feeling, I don't care who makes it I,just want a new one,twaiku,5,7,5
Septic Eye oh for, fucks sake what the hell is wrong,with people these days,twaiku,5,7,5
system Some guy flees, from both of my moms for no,apparent reason,twaiku,5,7,5
Even though you put, my life through hell I can't seem,to forget bout you,twaiku,5,7,5
every time i, try to be happy something,bad always happen,twaiku,"4,5",7,5
Why's it taken me, so long to realise this,happened to me lol,twaiku,5,7,5
If you think about, it Black Panther is the world's,biggest hypocrite,twaiku,5,7,5
Childish gambino, and the rest of wu tang in,the same place Im there,twaiku,5,7,5
It's finally D, DAY See you all there and let's,have fun together,twaiku,5,7,5
Imagine being, so bored that you log in to,your twitter account,twaiku,5,7,5
Electricity, of the butt can be caused by,poor brain filtering,twaiku,5,7,5
socialist I'm not, an alcoholic I just,like the taste of beer,twaiku,5,7,5
I ain't made nothing, like this in a min Ain't felt,like this in a min,twaiku,5,7,5
Any villains out, there want to hangout and not,hangout at Disney,twaiku,5,7,5
Michelle Caruso, Cabrera is just awful,too old too boring,twaiku,5,7,5
This is what Ahmad, said to me when I told him,to come dance with me,twaiku,5,7,5
Lebron better not, have a concussion or this,is over tonight,twaiku,5,7,5
I just wanna be, laid up watching movies and,talking about life,twaiku,5,7,5
Sometimes I wonder, what history books will look,like in the future,twaiku,5,"6,7",5
The Life Of Stevie, Is A Hard One Sometimes But,I Wouldn't Trade It,twaiku,5,7,5
In moments like this, I gotta remember I've,been through so much worse,twaiku,5,7,5
Tragic One of the, great Everton captains O,Captain My Captain,twaiku,5,7,5
Most Americans, don't give a flying about,anything he does,twaiku,5,7,5
I'm in London right, now and o just wanted that,to be on record,twaiku,5,7,5
i don't know any, bitch that moves on faster than,ariana grande,twaiku,5,7,5
Hey seniors Wear a, t shirt of the college you're,going to next year,twaiku,5,7,5
I THOUGHT KRYSTAL WAS, RUBBING A REPTILE TAIL OF,SOME SORT ON CHRIS' CHEST,twaiku,5,7,5
all these beautiful, nicknames and australia just,has mates IM PEEING,twaiku,5,7,5
So wanna travel, the world for a few years and,get out this shit hole,twaiku,5,7,5
Father god I'm not, worthy but I'm becoming,more n more grateful,twaiku,5,7,5
I'm real tired of, Josh bean boy constantly A,good job of it too,twaiku,5,7,5
Only GOD Can Give, Me True Happiness I Guess,He Is Using YOU,twaiku,5,7,5
Imagine passing, by racist white folks and you,hear get da Nigger,twaiku,5,7,"5,6"
Sorry again guys, no stream today Somehow it,just won't go away,twaiku,5,7,5
violence And they, set up a brand new account,for that own Goodness,twaiku,5,7,5
Just like his photo, and look at his avi The,rest should come easy,twaiku,5,7,5
My teacher just called, her husband the house bitch in,front of all of us,twaiku,5,7,"5,6"
SOMEONE FROM BUENOS, AIRES WOULD LIKE TO COME WATCH,BURN THE STAGE WITH ME,twaiku,5,7,5
i'm sorry that you, didn't get ur grand babies,mrs mccormick,twaiku,5,"6,7",5
You should be writing, like an alkali fleeing,from a desertion,twaiku,5,7,5
The best feeling in, the world is knowing I make,you laugh and happy,twaiku,5,7,5
Love when Cameron's, away out so I can catch,up on all my soaps,twaiku,5,7,5
I need an alpha, male but sadly there are none,who are fun near me,twaiku,5,7,5
since you follow me, in real life will you follow,me on Twitter too,twaiku,5,7,5
I love blocking men, on social media like,you annoying bye,twaiku,5,7,5
holy crap your art, as amazing I want to,be like you one day,twaiku,5,7,5
shyster shyster and, shyster Lol is he being,anti Semitic,twaiku,5,7,5
I get so annoyed, and then try controlling it,but it's too damn hard,twaiku,5,7,5
except send you back, to the single fact give me,the son of a bitch,twaiku,5,7,5
Hey Arabella, Sheraton thanks for adding,hip hop to your day,twaiku,5,7,5
I didn't want to, wake up today knowing you,weren't going to,twaiku,"4,5",7,"4,5"
if people were rain, i was a drizzle and she,was a hurricane,twaiku,5,7,5
You actually, can't hate Salah the man is,unbelievable,twaiku,"3,4,5",7,5
Not sure he's really, got the art of the snappy,headline there either,twaiku,5,7,5
People who have hog, roast cobs at weddings are the,best type of people,twaiku,5,7,5
On chicken wings They, must kill a lot of baby,chickens for these wings,twaiku,5,7,5
good morning i threw, up all on my self and i,can't think properly,twaiku,5,7,5
every day that, passes I realize how,indifferent I am,twaiku,"4,5",7,"5,6,7"
goodnight once again, i can't believe that i meet,my best friends next week,twaiku,5,7,5
I'm not supposed to, be eating all this spicy,food I gotta chill,twaiku,5,7,5
Her mindset will raise, your children not her body,and looks choose wisely,twaiku,5,7,5
People on Twitter, be making up their own damn,statistics Shut up,twaiku,5,7,5
Even more true now, than when President Trump said,this six years ago,twaiku,5,7,5
Are you afraid of, different perspectives or,do you embrace them,twaiku,5,"6,7",5
When I am having, a good ass dream but then I'm,about to wake up,twaiku,"5,6",7,5
Happy Sunday May, your day be filled with much Love,Laughter Joy my friends,twaiku,5,7,5
You could argue the, keeper could've got closer,not a chance Jesus,twaiku,5,7,5
I have never seen, Green this bad Not even when,he was a starter,twaiku,5,7,5
It's Raining got my, bottle got my woods y'all more,than welcome to join,twaiku,5,7,5
alright I am one, cute dog commercial away,from a full breakdown,twaiku,"5,6",7,5
clarkson Can't wait to, hear you sing The National,Anthem tomorrow,twaiku,5,"6,7",5
This sermon was REAL, good people Go check it out,if you get a chance,twaiku,5,7,5
If we keep making, Disney jokes will it make you,get animated,twaiku,5,7,5
No thanks I'm over, the cold I'm ready for my,Cali beach weather,twaiku,5,7,5
His destiny was, the cross His purpose was love,His reason was you,twaiku,5,7,5
Jared Taylor is, a White advocate not a,White nationalist,twaiku,5,7,"4,5"
Patiently waiting, for the day bye Felicia,stops being a thing,twaiku,5,7,5
You're amazing thank, you this really makes me feel,good about myself,twaiku,5,7,5
It looking like not, if Trump and his cohorts get,indicted Its when,twaiku,5,7,5
Drake and Josh really, was that show Thank god I grew,up on that era,twaiku,5,7,5
how am i supposed, to get homework done when the,jackets game is on,twaiku,"5,6",7,5
One of the hardest, things to do in life is to,put ya pride aside,twaiku,5,7,5
Y'all my baby is, coming down to Arkansas,next month hopefully,twaiku,5,7,5
I'm so tired of, fortune cookies not being,fortunes anymore,twaiku,5,7,5
all my favourite, people are old men what does,that say about me,twaiku,5,7,5
I've never fully, healed from anything I just,learned to live with wounds,twaiku,5,7,"5,6"
She is so stupid, it's not even funny It's,depressing and sad,twaiku,5,7,5
If you're not having, fun while giving head then you're,doing it wrong sus,twaiku,5,7,5
People really need, to gain some substance read a,damn book or something,twaiku,5,7,5
Can you imagine, how far he would be if he,taken penalties,twaiku,5,7,5
the snapchat update, literally makes me want,to delete the app,twaiku,5,"6,7",5
I've seen a lifetime's, share of cursed images This,is a cursed image,twaiku,5,7,5
Crazy if you think, I will pay for a water,cup through the drive thru,twaiku,5,7,5
Well I'm working the, event but still I get to,see them and get paid,twaiku,5,7,5
Learning is knowing, that we don't know And seeking,it in the right way,twaiku,5,7,5
Am I grasping at, straws Is it slipping through my,fingers all the time,twaiku,"5,6",7,5
I was about to, sleep but Lucas said no not,on my watch you won't,twaiku,5,7,5
looking for the they, definitely also killed,jesus tumblr post,twaiku,5,7,5
Twenty twenty four, hours ago oh I want,to be sedated,twaiku,5,"6,7",5
A Sunday filled with, cooking relaxing football,basketball and peace,twaiku,5,7,5
I really should start, practicing Yoga again,so good for the soul,twaiku,5,7,5
Just because something, is wrong for you doesn't mean,it's not right for me,twaiku,5,7,5
SEEING FANTASTIC, BEASTS TOMORROW WE'RE GOING,LETS GO LESBIANS,twaiku,5,7,5
i'm done with spending, all of my money on food,i'm starving this year,twaiku,5,7,5
There's a beast running, loose but I'm afraid the wrong,monster is released,twaiku,5,7,5
So much hate inside, yo heart we don't even know,what we done to you,twaiku,5,7,5
Why do people come, to Malta for eggs if they're,so expensive there,twaiku,5,7,5
Whenever I hear, Flashing Lights I just wanna,move in slow motion,twaiku,5,7,5
Asymmetry There, There Washington Black so much,great fiction this year,twaiku,5,7,5
It always comes back, to you boils circles itches,it's way back to you,twaiku,5,7,5
Sorry to challenge, your fake news addled brain with,truth and sanity,twaiku,5,7,5
My allergies are, so bad i just saw flowers,on tv and sneezed,twaiku,5,7,"5,7"
They have gone over, the edge Do they really think,this will work on us,twaiku,5,7,"5,6"
And I don't even, care what you do But when you,text me real late like,twaiku,5,7,5
Never let your sense, of morals prevent you from,doing what is right,twaiku,5,7,5
if you comeback to, me i'll guarantee that i'll,never let you go,twaiku,5,7,5
Moving on is hard, especially when you know it's,the right thing to do,twaiku,5,"8,7",5
When people treat you, like they don't care believe their,actions not their words,twaiku,5,7,5
You just got yourself, onto the next flight of CUT,THE FUCK OFF Goodbye,twaiku,5,7,5
There playing Circle, of Life during the break at,the State Farm Center,twaiku,5,7,5
Having a mental, illness does not excuse you,from being a bitch,twaiku,5,7,5
Whenever I'm bored, or not busy at work I,order shit offline,twaiku,5,7,5
Our defenders, are ill I fear we may be,getting PIPED tonight,twaiku,"4,5",7,5
long live playing in, red robin not a fan i'm,just trying to eat,twaiku,5,7,"4,5"
I have so many, emotions and thoughts running,through my head right now,twaiku,5,7,5
My future really, always on my mind I just,want be successful,twaiku,5,7,5
that bayou classic, shit never again I'm so,ready to go home,twaiku,5,7,5
Tom Holland and Nick, Robinson are daddy too,stop playing bitches,twaiku,5,7,5
Beautiful night At, this jazz festival sipping,on wine What a time,twaiku,5,7,5
I need snacks fighting, the urge to eat this cheesecake,I have in the fridge,twaiku,5,7,5
I don't tolerate, liars I'm a nice person,not a stupid one,twaiku,5,7,5
If I'm doing good, so are the people who helped,me through my struggle,twaiku,5,7,5
Currently smiling, like a kid on Christmas I,love playoff baseball,twaiku,5,7,5
I just be needing, to feel him in my sleep And,he's always right there,twaiku,5,7,5
This team is nasty, when they take every game,as a business call,twaiku,5,"6,7",5
Felling slightly down, But the sun is shining through,But the wind's angry,twaiku,5,7,5
People who get to, watch their favorite sports for,a career the life,twaiku,5,"6,7",5
Bangs was a success, Thank u all for lying to,me I'm sensitive,twaiku,5,7,5
lemme enjoy my, problematic ships i know,they're problematic,twaiku,5,7,5
I heard he outside, just seen him on live so he,won't be hard to find,twaiku,5,7,5
Saw a dead raccoon, on the road this morning guess,who started balling,twaiku,5,7,5
I can't respect a, man who hurts a female and,can't apologize,twaiku,5,7,5
How ba a a, ad can I be How bad can,I possibly be,twaiku,"4,5",7,5
Can I borrow the, king please I might not give him,back tho but like please,twaiku,5,7,5
Trying to get the, point I can draw anything,a little kids ask,twaiku,"4,5",7,5
i got a bootleg, squishy cat and already,poked a hole in em,twaiku,5,7,5
Did any one ask, who is recording Is it,the new girlfriend lol,twaiku,5,7,5
Imagine how much, easier my life would be,if Liam could drive,twaiku,5,7,5
I always forget, who I am and what I stand,for never again,twaiku,5,"8,7",5
Life must be shitty, for those with chronic bowel,explosion disease,twaiku,5,7,5
it s prejudiced, Why electricians owes more,than taxi drivers,twaiku,5,7,5
The Excision lost, lands set is my go to when,I'm lifting heavy,twaiku,5,7,5
actually i've, never thought about that what,a good idea,twaiku,"3,4,5",7,5
Looking at my bank, account and credit score is,so therapeutic,twaiku,5,7,5
Confession I think, about Metal Gear Solid,at least once a day,twaiku,5,7,5
You can't call yourself, a magician if you can't,read the atmosphere,twaiku,5,7,5
On my grandma I, got nun to lose from this day,on out period,twaiku,5,7,5
Whatever you have, to offer is probably,not enough for me,twaiku,5,"6,7",5
Scott pilgrim vs, the world is secretly the,biography of,twaiku,5,7,5
your support email, address isn't working I've,gotten hard bounces,twaiku,5,7,5
In London if you, ain't rich or have active friends,it's boring as fuck,twaiku,5,7,5
Why is there something, always wrong with every,shopping cart I grab,twaiku,5,"6,7",5
Why you not talking, Why you so quiet Bitch it,ain't nothing to say,twaiku,5,7,5
I thought my bio, makes it clear im a builder,not a artist lol,twaiku,5,7,5
I'm driving with Do, Not Disturb While Driving turned,on So do me a,twaiku,5,7,5
God hath given you, one face and you make yourself,another Shakespeare,twaiku,5,7,5
i would swallow a, lego for some jennifer,fisher jewelry,twaiku,5,7,"4,5"
I told my momma, I'm gangster I'll never change,the way that I live,twaiku,5,7,5
If this cat touches, my baubles one more time I'm,gonna lose my shit,twaiku,5,7,5
I always forgive, and forget a blessing to,you a curse for me,twaiku,5,7,5
Eating this pizza, then going to sleep I have,no friends ya all wack,twaiku,5,7,5
Peter Crouch o and, Andy Carroll injured I,don't believe it lol,twaiku,5,7,5
He shouldn't have to, take it as his wife you should,do it with consent,twaiku,5,7,5
Tired of going, above and beyond to get,the bare minimum,twaiku,5,7,5
Thank you to people, who reach out when they don't need,anything from me,twaiku,5,7,5
That depends a good, deal on where you want to get,to Lewis Carroll,twaiku,5,7,5
I really want a, daughter but I can wait a,little bit longer,twaiku,5,7,5
I cannot wait for, Odell Beckham to get this,W tonight,twaiku,5,7,5
somewhere in between, you and I are always here,come meet in middle,twaiku,5,7,5
oh also i have, exams until wednesday see,you all on thursday,twaiku,5,7,5
No matter were you, stand on this issue that was,impressive Vote Red,twaiku,5,7,5
Nobody knows how, to say goodbye It seems so,easy 'til you try,twaiku,5,7,5
Mo Salah would be, a perfect player but fuck,the guy doesn't dub,twaiku,5,7,5
Where's that video, gone of the guy describing,his house getting robbed,twaiku,5,7,5
I'm seeing burn the, stage today wish mi luck bois,I'm ready to cry,twaiku,5,7,5
Anyone want to, stream together and game and,just have a good time,twaiku,5,7,5
I don't know whether, snapchat memories are a,blessing or a curse,twaiku,5,7,5
Wish Bronx wouldn't have, to resort to stealing my,bits but here we are,twaiku,5,7,5
Gonna start biking, hiking or again fishing,this summer I think,twaiku,5,7,5
there's only one hair, on my inner forearm and,it's like an inch long,twaiku,5,7,5
Peace and Blessings to, the families in Texas,May God Bless them all,twaiku,5,"6,7",5
bruce Irving has been, cut do you think the packers,are interested,twaiku,5,7,"4,5"
is and always will, be the best Angelica,No one can beat her,twaiku,5,7,5
Friends in Maine Demand, more than this Demand that this,man not be confirmed,twaiku,5,7,5
Once you are happy, enough your life will better,enough than you think,twaiku,5,7,5
coin If you're reading, this you're well you're doing the,same but it's all right,twaiku,5,7,5
Tomlinson bedtime, for me good night Louis i,love and miss you x,twaiku,5,7,5
toes lol you didn't, get in the beta let me,rub it in your face,twaiku,"4,5",7,5
i have this toxic, trait where i fall in love with,multiple women,twaiku,5,7,5
Understand that it's, more important to be an,owner than a boss,twaiku,5,7,5
These receivers just, let the ball go wherever,they smoking crack rock,twaiku,5,7,5
I really couldn't, get through the first pirates of,the caribbean,twaiku,5,7,5
Damn McGahee has, to play fullback Jesus that,backfield was loaded,twaiku,5,7,5
U wanna come up, you just gotta stay down its,fuck what they say now,twaiku,5,7,5
Sunday when he was, answering questions that was,one he said yes to,twaiku,5,7,5
I am so sorry, to all the people I hurt,while I was hurting,twaiku,"5,6",7,5
Bitches love keeping, yo kids away til they need,a babysitter,twaiku,5,7,5
Did anyone see, Batman v Superman yet,Best film of all time,twaiku,5,7,5
I've had a headache, for a week straight the mental,exhaustion is real,twaiku,5,7,5
where is selena, i haven't heard anything,about her in months,twaiku,5,7,5
If honesty is, the best policy then why,does everyone lie,twaiku,5,7,5
Anyone want to, out money that USA,will win the world cup,twaiku,5,7,5
i didn't even, see you when i liked you now,i ain't got no time,twaiku,"4,5",7,5
Need someone who likes, to stay in and chill just as,much as I do lol,twaiku,5,7,5
the photo katie, just posted is the cutest,thing i've ever seen,twaiku,5,7,5
Jennifer Lawrence, sparrow network is your best,interpretation,twaiku,5,7,5
Sounds like someone needs, even more attention and,less negative press,twaiku,5,7,5
Google is about, to force you to use its new,Calendar design,twaiku,5,7,5
Malcom don't listen, to Jessica She doesn't,trust you anymore,twaiku,5,7,5
Are they gonna have, Bianca voiced by Milhouse,again No really,twaiku,5,7,5
Pay it forward you, will be surprised at the good,that comes back to you,twaiku,5,7,5
We can never go, to the field w o,something going wrong,twaiku,5,7,5
You mean the agent, called our doctors had been,having chest pain now,twaiku,5,"6,7",5
Somebody who loves, me want to bring me breakfast,My husband doesn't,twaiku,5,7,5
Knowledge is power, and school College powerhouse,Good night twitter friends,twaiku,5,7,5
Those fake profiles that, all of a sudden add you,and talk on Facebook,twaiku,5,7,5
Such division is, this what WE want Well heck yeah,but not like this Qui,twaiku,5,7,5
Well said You forgot, about the racist chants that,deeply upset him,twaiku,5,7,5
The young master from, political world Must be,what they think of me,twaiku,5,7,5
SPOILER Toronto, is not Ontario's most,expensive market,twaiku,5,7,5
Every time I, start trusting someone they show,me why I shouldn't,twaiku,"4,5",7,5
Everyone wants to, change the world but no one wants,to the change themselves,twaiku,5,7,5
Why do people rape, Like how hard is it to find,a bitch to fuck on,twaiku,5,7,5
I didn't file my, taxes from last year needs me,this time around though,twaiku,"4,5",7,5
These random people, are playing music outside,my window it's tots,twaiku,5,7,5
What God can offer, far outweighs anything that,this world can give you,twaiku,5,7,5
Oscars predictions, Best Actor Gary Oldman,Best Film Three Billboards,twaiku,5,7,5
Max Branning Oscar, needed after that epic,performance last night,twaiku,5,7,5
is real live driving, around picking up meeting,fans you're too real man,twaiku,5,7,5
Get goblet and lick, its coating to return to,ground at Edge of Storms,twaiku,5,7,5
How many times do, I have to clench my cheeks for,this shit to get fat,twaiku,5,7,5
My uni pals are, going to mock me real bad,tomorrow Thank u,twaiku,5,7,5
In other words Let's, tank a great economy,for shits and giggles,twaiku,5,7,5
Atlantic told me, to remove your name from my,verse per your request,twaiku,5,7,5
Not surprising this, happened at a liberal,safe space like Starbucks,twaiku,5,7,5
Maybe I should stop, studying and just wing my,finals tomorrow,twaiku,5,7,5
When it's a problem, I ain't talkin man I'm just,pullin out for u,twaiku,5,7,5
NEVER date marriage, someone who DOES NOT WONT date,within their own race,twaiku,5,7,5
legends say that we, still have glue stuck on our,hands from making slime,twaiku,5,"6,7",5
In comic strips the, person on the left always,speaks first George Carlin,twaiku,5,7,5
